PDB ID (human only)          ,# of PDBs,PDB ID (contains human)          ,# of PDBs, UniProt ID,Gene Symbol,Name,Process/Function,BETSE Model
,0,                                                                            ,0,B4E3L1,-,"cDNA FLJ59153, highly similar to Transient receptor potential cation channel subfamily V member 3",,-
,0,                                                                            ,0,B4DW99,-,"cDNA FLJ59169, highly similar to Homo sapiens Kv channel interacting protein 2 (KCNIP2), transcript variant 5, mRNA",,-
,0,                                                                            ,0,B4DE56,-,"cDNA FLJ59180, moderately similar to Chloride channel protein ClC-Ka",,-
,0,                                                                            ,0,B7Z2D1,-,"cDNA FLJ59197, moderately similar to Bestrophin-1",,-
,0,                                                                            ,0,B4DY10,-,"cDNA FLJ59225, highly similar to Potassium voltage-gated channel subfamily V member 2",,vg_kir.Kv3p3
,0,                                                                            ,0,A8MWU7,-,"cDNA FLJ59748, highly similar to Gamma-aminobutyric-acid receptor gamma-2 subunit",,-
,0,                                                                            ,0,B4DKC0,-,"cDNA FLJ60116, highly similar to Potassium voltage-gated channel subfamily H member 6",,vg_funny.HCN4
,0,                                                                            ,0,B4DKM5,-,"cDNA FLJ60120, highly similar to Voltage-dependent anion-selective channel protein 2",,-
,0,                                                                            ,0,B4DEP4,-,"cDNA FLJ60440, highly similar to Potassium voltage-gated channel subfamily KQT member 2",,vg_k.Kv1p1
,0,                                                                            ,0,B7Z375,-,"cDNA FLJ60562, highly similar to Bestrophin-1",,-
,0,                                                                            ,0,B4DJD0,-,"cDNA FLJ60591, moderately similar to Gamma-aminobutyric-acid receptor beta-1 subunit",,-
,0,                                                                            ,0,B4DSI4,-,"cDNA FLJ60859, highly similar to Sodium channel protein type 3 subunit alpha",,vg_na.Nav1p2
,0,                                                                            ,0,B4DN98,-,"cDNA FLJ61140, highly similar to Ryanodine receptor 2",,-
,0,                                                                            ,0,B4E2L9,-,"cDNA FLJ61204, highly similar to Potassium voltage-gated channel subfamily E member 1",,-
,0,                                                                            ,0,B7Z336,-,"cDNA FLJ61269, highly similar to Bestrophin-1",,-
,0,                                                                            ,0,B4DIX5,-,"cDNA FLJ61284, highly similar to Homo sapiens transient receptor potential cation channel, subfamily M, member 4 (TRPM4), mRNA",,-
,0,                                                                            ,0,B7Z3V7,-,"cDNA FLJ61302, highly similar to Glutamate receptor, ionotropic kainate 1",,-
,0,                                                                            ,0,B7Z3Y0,-,"cDNA FLJ61305, highly similar to Voltage-dependent L-type calcium channel subunit beta-2",,vg_ca.Ca_L
,0,                                                                            ,0,B4DWB3,-,"cDNA FLJ61432, highly similar to Transient receptor potential cation channel subfamily M member 2 (EC 3.6.1.13)",,-
,0,                                                                            ,0,B4E398,-,"cDNA FLJ61569, highly similar to 5-hydroxytryptamine 3 receptor",,-
,0,                                                                            ,0,A8K7F0,-,"cDNA FLJ75218, highly similar to Homo sapiens glutamate receptor, ionotropic, kainate 2, mRNA",,-
,0,                                                                            ,0,A8K5R3,-,"cDNA FLJ75268, highly similar to Human voltage-dependent calcium channel beta-4 subunit mRNA",,vg_ca.Ca_L
,0,                                                                            ,0,A8K706,-,"cDNA FLJ75271, highly similar to Human uKATP-1",,vg_kir.Kir2p1
,0,                                                                            ,0,A8K0U1,-,"cDNA FLJ75537, highly similar to Homo sapiens sodium channel, voltage-gated, type II, alpha 2 (SCN2A2), mRNA",,vg_na.Nav1p2
,0,                                                                            ,0,A8K177,-,"cDNA FLJ75583, highly similar to Homo sapiens gamma-aminobutyric acid (GABA) A receptor, alpha 1 (GABRA1), mRNA",,-
,0,                                                                            ,0,A8K1U5,-,"cDNA FLJ75602, highly similar to Homo sapiens amiloride-sensitive cation channel 2, neuronal (ACCN2), transcript variant 2, mRNA",,-
,0,                                                                            ,0,A8K434,-,"cDNA FLJ75675, highly similar to Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 16 (KCNJ16), transcript variant 1, mRNA",,vg_kir.Kir2p1
,0,                                                                            ,0,A8K496,-,"cDNA FLJ75677, highly similar to Homo sapiens gamma-aminobutyric acid (GABA) A receptor, delta (GABRD), mRNA",,-
,0,                                                                            ,0,A8K9U7,-,"cDNA FLJ75829, highly similar to Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 15 (KCNJ15), transcript variant 2, mRNA",,vg_kir.Kir2p1
,0,                                                                            ,0,A8K432,-,"cDNA FLJ76032, highly similar to Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 1 (KCNJ1), transcript variant rom-k1, mRNA",,vg_kir.Kir2p1
,0,                                                                            ,0,A8K8R2,-,"cDNA FLJ77381, highly similar to Homo sapiens cation channel, sperm associated 3 (CATSPER3), mRNA",,vg_ca.Ca_T
,0,                                                                            ,0,A8K0H7,-,"cDNA FLJ77447, highly similar to Homo sapiens glutamate receptor, ionotropic, kainate 2 (GRIK2), transcript variant 1, mRNA",,-
,0,                                                                            ,0,A8K1X9,-,"cDNA FLJ77679, highly similar to Homo sapiens potassium voltage-gated channel, shaker-related subfamily, beta member 2 (KCNAB2), transcript variant 1, mRNA",,-
,0,                                                                            ,0,A8K0K0,-,"cDNA FLJ77765, highly similar to Human glutamate receptor subunit (GluH1) mRNA",,-
,0,                                                                            ,0,A8K3A3,-,"cDNA FLJ77939, highly similar to Homo sapiens potassium channel, subfamily K, member 10 (KCNK10), transcript variant 2, mRNA",,-
,0,                                                                            ,0,A8KAN9,-,cDNA FLJ78030,,-
,0,                                                                            ,0,A8K191,-,"cDNA FLJ78149, highly similar to Homo sapiens gamma-aminobutyric acid (GABA) A receptor, gamma 1, mRNA",,-
,0,                                                                            ,0,B3KQH8,-,"cDNA FLJ90476 fis, clone NT2RP3002737, highly similar to Potassium voltage-gated channel subfamily KQT member 4",,-
,0,                                                                            ,0,B3KQH9,-,"cDNA FLJ90484 fis, clone NT2RP3003000, highly similar to Voltage-dependent T-type calcium channel subunit alpha-1H",,vg_ca.Ca_T
,0,                                                                            ,0,Q8NC07,-,"cDNA FLJ90622 fis, clone PLACE1002726, moderately similar to Oryctolagus cuniculus epithelial calcium channel",,-
,0,                                                                            ,0,Q8NBV5,-,"cDNA FLJ90725 fis, clone PLACE1009527, weakly similar to Oryctolagus cuniculus epithelial calcium channel",,-
,0,                                                                            ,0,B7Z9V5,-,"cDNA, FLJ78969, highly similar to Potassium voltage-gated channel subfamily KQT member 5",,-
,0,                                                                            ,0,B0AZM0,-,"cDNA, FLJ79460, highly similar to Voltage-gated potassium channel subunitbeta-2",,-
,0,                                                                            ,0,B2R604,-,"cDNA, FLJ92713, highly similar to Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 10 (KCNJ10), mRNA",,vg_kir.Kir2p1
,0,                                                                            ,0,B2R615,-,"cDNA, FLJ92727, highly similar to Homo sapiens potassium voltage-gated channel, shaker-related subfamily, beta member 2 (KCNAB2), transcript variant 1, mRNA",,-
,0,                                                                            ,0,B2R621,-,"cDNA, FLJ92736, highly similar to Homo sapiens gamma-aminobutyric acid (GABA) A receptor, alpha 3 (GABRA3), mRNA",,-
,0,                                                                            ,0,B2R6C6,-,"cDNA, FLJ92890, highly similar to Homo sapiens transient receptor potential cation channel, subfamily C, member 4 (TRPC4), mRNA",,-
,0,                                                                            ,0,B2R776,-,"cDNA, FLJ93315, highly similar to Homo sapiens potassium voltage-gated channel, shaker-related subfamily, beta member 2 (KCNAB2), transcript variant 2, mRNA",,-
,0,                                                                            ,0,B2R7M8,-,"cDNA, FLJ93518, highly similar to Homo sapiens amiloride-sensitive cation channel 1, neuronal (degenerin) (ACCN1), mRNA",,-
,0,                                                                            ,0,B2R8Q7,-,"cDNA, FLJ94016, highly similar to Homo sapiens potassium channel, subfamily V, member 1 (KCNV1), mRNA",,vg_k.Kv1p1
,0,                                                                            ,0,B2R9S2,-,"cDNA, FLJ94532, highly similar to Homo sapiens 5-hydroxytryptamine (serotonin) receptor 3A (HTR3A),mRNA",,-
,0,                                                                            ,0,B2RA12,-,"cDNA, FLJ94651, highly similar to Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 6 (KCNJ6), mRNA",,vg_kir.Kir2p1
,0,                                                                            ,0,B2RA30,-,"cDNA, FLJ94673, highly similar to Homo sapiens potassium channel, subfamily K, member 1 (KCNK1), mRNA",,-
,0,                                                                            ,0,B2RA82,-,"cDNA, FLJ94754, highly similar to Homo sapiens potassium inwardly-rectifying channel, subfamily J, member 2 (KCNJ2), mRNA",,vg_kir.Kir2p1
,0,                                                                            ,0,B2RAP6,-,"cDNA, FLJ95040, highly similar to Homo sapiens glutamate receptor, ionotropic, kainate 4 (GRIK4), mRNA",,-
,0,                                                                            ,0,B2RC52,-,"cDNA, FLJ95855, highly similar to Homo sapiens potassium inwardly-rectifying channel, subfamily J,member 11 (KCNJ11), mRNA",,vg_kir.Kir2p1
,0,                                                                            ,0,B2RCW8,-,"cDNA, FLJ96343, highly similar to Homo sapiens gamma-aminobutyric acid (GABA) A receptor, beta 3 (GABRB3), transcript variant 2, mRNA",,-
,0,                                                                            ,0,Q9H637,-,"cDNA: FLJ22628 fis, clone HSI06177",,-
,0,                                                                            ,0,Q5BLP4,-,CH22143,cation channel; Ligand-gated; ATP-gated;,-
,0,                                                                            ,0,A8K449,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,A8K4H5,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,A8K8H0,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B3KRR2,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B3KUD9,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B3KVJ8,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B3KXK0,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B3KXZ3,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B4E3N4,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B7Z9L3,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,Q9BSM4,-,Chloride channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B2RAZ0,-,Chloride intracellular channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B3KTR3,-,Chloride intracellular channel protein,Cl- channel; Voltage-gated;,-
,0,                                                                            ,0,B4DWC4,-,Chloride intracellular channel protein,Cl- channel; Voltage-gated; Apoptosis,-
,0,                                                                            ,0,Q53FB0,-,Chloride intracellular channel protein,Cl- channel; Voltage-gated; Cell-cycle regulation,-
,0,                                                                            ,0,Q59FV0,-,"Cholinergic receptor, nicotinic, alpha polypeptide 4 variant",cation channel; Ligand-gated; Acetylcholine activated;,-
,0,                                                                            ,0,Q13062,-,Dihydropyridine receptor,"Ca2+ channel; ? gating; Neurons, mucle contraction",vg_ca.Ca_L
,0,                                                                            ,0,Q12966,-,Dihydropyridine receptor alpha 1 subunit,"Ca2+ channel; ? gating; Neurons, mucle contraction",vg_ca.Ca_L
,0,                                                                            ,0,Q71UU0,-,GABA subunit A receptor alpha 6,Cl- channel; Ligand-gated; ,-
,0,                                                                            ,0,Q53F42,-,"Gamma-aminobutyric acid (GABA) A receptor, alpha 1 variant",Cl- channel; Ligand-gated; ,-
,0,                                                                            ,0,Q59HA9,-,Glutamate [NMDA] receptor subunit epsilon 2 variant,Cation channel; Ligand-gated; Glutamate-gated; ,-
,0,                                                                            ,0,Q59GL7,-,"Glutamate receptor, ionotrophic variant",Cation channel; Ligand-gated; Glutamate-gated; ,-
,0,                                                                            ,0,Q59GL5,-,"Glutamate receptor, ionotropic, AMPA 1 variant",Cation channel; Ligand-gated; Glutamate-gated; ,-
,0,                                                                            ,0,Q59F93,-,"Glutamate receptor, ionotropic, AMPA 2 variant",Cation channel; Ligand-gated; Glutamate-gated; ,-
,0,                                                                            ,0,Q59H91,-,"Inositol 1,4,5-trisphosphate receptor type 1 variant",Ca2+ channel; ? gating;,-
,0,                                                                            ,0,Q59ES2,-,"Inositol 1,4,5-trisphosphate receptor type 3 variant",Ca2+ channel; ? gating;,-
,0,                                                                            ,0,Q08124,-,Interleukin-1 homologue,NOT AN ION CHANNEL;,-
,0,                                                                            ,0,Q59FH2,-,Large conductance calcium-activated potassium channel subfamily M alpha member 1 variant,K+ channel; Voltage-gated;,-
,0,                                                                            ,0,Q6XYC3,-,LP6728,Ca2+ channel; ? gating; ,-
,0,                                                                            ,0,A9X443,-,Muscle nicotinic acetylcholine receptor,Cation channel; Ligand-gated;,-
,0,                                                                            ,0,A9X444,-,Muscle nicotinic acetylcholine receptor,Cation channel; Ligand-gated;,-
,0,                                                                            ,0,Q59EW6,-,N-methyl-D-aspartate receptor subunit 2A variant,? channel; Ligand-gated; Glutamate-gated;,-
,0,                                                                            ,0,Q59HF9,-,N-methyl-D-aspartate receptor subunit 2C variant,? channel; Ligand-gated; Glutamate-gated;,-
,0,                                                                            ,0,A5X2V0,-,Nasal epithelial sodium channel beta subunit,Na+ channel; Ligand-gated;,-
,0,                                                                            ,0,Q59GW0,-,NMDA receptor 1 isoform NR1-2 variant,Cation channel; Ligand-gated; Glutamate-gated;,-
,0,                                                                            ,0,Q59H41,-,NMDA receptor 1 isoform NR1-2 variant,Cation channel; Ligand-gated; Glutamate-gated;,-
,0,                                                                            ,0,Q15G98,-,P2 nucleotide receptor 7 splice variant J,?,-
,0,                                                                            ,0,B2R876,-,P2X purinoceptor,Cation channel; Ligand-gated; ATP-gated;,-
,0,                                                                            ,0,B7Z3W4,-,P2X purinoceptor,Cation channel; Ligand-gated; ATP-gated;,-
,0,                                                                            ,0,B7Z6W8,-,P2X purinoceptor,Cation channel; Ligand-gated; ATP-gated;,-
,0,                                                                            ,0,Q59EV2,-,P2X purinoceptor,Cation channel; Ligand-gated; ATP-gated;,-
,0,                                                                            ,0,Q71UK3,-,P2X1 receptor,Cation channel; Ligand-gated; ATP-gated;,-
,0,                                                                            ,0,Q3YAC7,-,Potassium channel interacting protein 2,K+ channel; Voltage-gated;,-
,0,                                                                            ,0,Q53HN5,-,"Potassium channel, subfamily K, member 6 variant",K+ channel; Voltage-gated;,-
,0,                                                                            ,0,Q7KYZ7,-,Potassium ion channel,K+ channel; Voltage-gated;,vg_k.Kv1p3
,0,                                                                            ,0,Q59H69,-,Potassium voltage-gated channel KQT-like protein 3 variant,K+ channel; Voltage-gated;,vg_k.Kv1p1
,0,                                                                            ,0,Q53FI0,-,"Potassium voltage-gated channel, Isk-related family, member 1-like variant",K+ channel; Voltage-gated;,-
,0,                                                                            ,0,B2RCL0,-,Protein tweety homolog,Cl- channel (probable); ? gating,-
,0,                                                                            ,0,B7Z1H9,-,Protein tweety homolog,Cl- channel (probable); ? gating,-
,0,                                                                            ,0,Q0GM92,-,Purinergic receptor P2X ligand gated ion channel 5,cation channel; ligand-gated; ATP-binding; ,-
,0,                                                                            ,0,Q0GM93,-,Purinergic receptor P2X ligand-gated ion channel 4,cation channel; ligand-gated; ATP-binding; ,-
,0,                                                                            ,0,Q8NG26,-,Putative nudix hydrolyase,NOT AN ION CHANNEL; hydrolize diphosphate derivatives,-
,0,                                                                            ,0,Q3C1U7,-,Putative uncharacterized protein,? - unknown protein,-
,0,                                                                            ,0,O75295,-,R27328_2,?,-
