UniProt ID,Gene Symbol,Name,Process/Function,Ions,Gating,Channel Class,In BETSE?
O43497,CACNA1G,Voltage-dependent T-type calcium channel subunit alpha-1G,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav3.1 (T-type),soon
O43511,SLC26A4,Pendrin,Cl- and I- channel; -? gating; Antiporter; Exchange Cl- for bicarbonate,,antiporter,,
O43525,KCNQ3,Potassium voltage-gated channel subfamily KQT member 3,K+ channel; Voltage-gated; Neuronal excitability; Mutations related to seizures; ,K+,Voltage,Kv7.3,
O43526,KCNQ2,Potassium voltage-gated channel subfamily KQT member 2,K+ channel; Voltage-gated; Neuronal excitability; Mutations related to seizures; ,K+,Voltage,Kv7.2,
O60217,SCN4A,Sodium channel alpha-subunit,"Na+ channel; in the absence of borate, it functions as a Na+ and OH-(H+) channel. In the presence of borate functions as an electrogenic Na+ coupled borate cotransporter",Na+,Voltage,Nav1.4,
O60359,CACNG3,Voltage-dependent calcium channel gamma-3 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacng3,
O60391,GRIN3B,"Glutamate receptor ionotropic, NMDA 3B","Cation channel low Ca2+ permeability, Mg2+ sensitivity is voltage-dependent); Ligand-gated; Glutamate-gated;",cation,Ligand,NMDA,doable
O60706,ABCC9,ATP-binding cassette sub-family C member 9,K+ channel; Ligand-gated; Subunit of KATP channel. Responsible for regulation,K+,Ligand,,
O60721,SLC24A1,Sodium/potassium/calcium exchanger 1,antiporter/symporter,,antiporter/symporter,,
O60741,HCN1,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1,Cation channel (K+ > Na+); Voltage-gated; Native pacemaker currents in the heart; Response to sour stimuli,cation,Voltage,HCN1,yes
O60840,CACNA1F,Voltage-dependent L-type calcium channel subunit alpha-1F,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav1.4 (L-type),no
O60928,KCNJ13,Inward rectifier potassium channel 13,K+ channel; Voltage-gated; Inward rectifying; Greater tendancy to allow K+ into the cell than out of it; Regulated by conc on extracellular K+; ,K+,Voltage,Kir7.1,
O60939,SCN2B,Sodium channel subunit beta-2,Na+ channel; Voltage-gated; Part of heterotrimeric complex; Cardiac conduction; Mutations associated with cardiac rhythm disturbance.,Na+,Voltage,,
O75052,NOS1AP,Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein,NOT AN ION CHANNEL; adapter protein; regulation,,,,
O75294,C19orf15,"Chromosome 19 open reading frame 15, isoform CRA_e",?   CatSper complex,Ca2+,Voltage,,
O75295,-,R27328_2,?,,,,
O75311,GLRA3,Glycine receptor subunit alpha-3,Cl- channel; Ligand-gated; Downregulates neuronal excitability; Contributes to pain perception; Plays a role in cell responses to ethanol.,Cl-,Ligand,Glycine,
O75591,-,Type 1-like ryanodine receptor,?,,,,
O75762,TRPA1,Transient receptor potential cation channel subfamily A member 1,"Cation channel (Ca2+); Temperature-gated; Pain perception (especially to volatile irritants), cold perception, inner ear function; Mutations associated with episodic pain syndrome;",cation,Ligand. Mechanical. Temperature.,TRPA1,
O76090,BEST1,Bestrophin-1,Cl- channel; ? gating; calcium-sensitive Cl-channel. Permeable to bicarbonate,Cl-,Ligand,,
O94759,TRPM2,Transient receptor potential cation channel subfamily M member 2,"cation channel; ?-gating; TRPM=transient receptor potential melastatin; Responds to oxidative stress; High expression in brain, involved in insulin secretion, immune cells, inflammation (Wikipedia)",cation,Ligand. Temperature.,TRPM2,
O95069,KCNK2,Potassium channel subfamily K member 2,K+ channel; passive transmembrane K+ transport,K+,Voltage,TREK-1 (K2P2.1),
O95180,CACNA1H,Voltage-dependent T-type calcium channel subunit alpha-1H,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav3.2 (T-type),
O95259,KCNH1,Potassium voltage-gated channel subfamily H member 1,"K+ channel; Voltage-gated; Involved in cell proliferation and differentiation; Mutation associated with Temple-Baraitser syndrome (intellecular disability, epilepsy�)",K+,Voltage,Kv10.1,
O95264,HTR3B,5-hydroxytryptamine receptor 3B,Cation channel; Ligand-gated; part of 5-HT3 ion channel,cation,Ligand,5HT3,doable
O95279,KCNK5,Potassium channel subfamily K member 5,K+ channel; Voltage-gated;,K+,Voltage,TASK-2,
O95387,CACNA1A,Voltage-dependent P/Q type calcium channel alpha 1A subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,Cav2.1 (P/Q-type),yes
O95833,CLIC3,Chloride intracellular channel protein 3,Cl- channel; Voltage-gated; Regulate cell growth,Cl-,Voltage,ClIC3,
O95897,OLFM2,Noelin-2,NOT AN ION CHANNEL; involved in smooth muscle differentiation,,,,
P02708,CHRNA1,Acetylcholine receptor subunit alpha,Ligand-gated; Subunit binds acetylcholine and leads to conformational change of entire ion channel to open channel,cation,Ligand,nAChR,doable
P04839,CYBB,Cytochrome b-245 heavy chain,H+; Voltage-gated; ,H+,Voltage,,
P05981,HPN,Serine protease hepsin,NOT AN ION CHANNEL,,,,
P06756,ITGAV,Integrin alpha-V,NOT AN ION CHANNEL; transmembrane protein,,,,
P07510,CHRNG,Acetylcholine receptor subunit gamma,Ligand-gated; Part of muslce acetylcholine receptor,cation,Ligand,nAChR,doable
P08133,ANXA6,Annexin A6,NOT AN ION CHANNEL,,,,
P0CG08,GPR89B,Golgi pH regulator B,Aanion channel; Voltage-gated; Acidiciation and function of Golgi apparatus,anion,Voltage,,
P11230,CHRNB1,Acetylcholine receptor subunit beta,Ligand-gated; Part of muslce acetylcholine receptor,cation,Ligand,nAChR,doable
P13569,CFTR,Cystic fibrosis transmembrane conductance regulator,Cl- channel; Ligand-gated; Regulate bicarbonate secretion; Mutation related to Cystic fibrosis,Cl-,Ligand,CFTR,
P14867,GABRA1,Gamma-aminobutyric acid receptor subunit alpha-1,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P15382,KCNE1,Potassium voltage-gated channel subfamily E member 1,"K+ channel; Voltage-gated; beta-subunit component with pore-forming alpha-subunits;m Found in heart, inner ear, stomach, colon",K+,Voltage,,
P16389,KCNA2,Potassium voltage-gated channel subfamily A member 2,K+ channel; Voltage-gated;,K+,Voltage,Kv1.2,yes
P17612,PRKACA,cAMP-dependent protein kinase catalytic subunit alpha,NOT AN ION CHANNEL; Kinase is phosphorylated in presence of Ca2+,,,,
P17658,KCNA6,Potassium voltage-gated channel subfamily A member 6,K+ channel; Voltage-gated;,K+,Voltage,Kv1.6,soon
P17787,CHRNB2,Neuronal acetylcholine receptor subunit beta-2,Na+ channel; Ligand-gated; Mutations associated with epilepsy; Related to many functions,Na+,Ligand,nAChR,doable
P18505,GABRB1,Gamma-aminobutyric acid receptor subunit beta-1,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P18507,GABRG2,Gamma-aminobutyric acid receptor subunit gamma-2,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P21754,ZP3,Zona pellucida sperm-binding protein 3,NOT AN ION CHANNEL;,,,,
P21796,VDAC1,Voltage-dependent anion-selective channel protein 1,Anions & cation selective; Voltage-gated; Mitochondiral outer membrane or plasma membrane; Involved in cell-volume regulation and apoptosis;,anion,Voltage,,
P21817,RYR1,Ryanodine receptor 1,Ca2+ channel; ? gated; Excitable tissue; Major mediator of Ca2+-induced Ca2+ release (CICR); Primarily in skeletal muscle,Ca2+,Ligand,RyR,
P22001,KCNA3,Potassium voltage-gated channel subfamily A member 3,K+ channel; Voltage-gated; Allow nerves to repolarize after an action potentials,K+,Voltage,Kv1.3,yes
P22459,KCNA4,Potassium voltage-gated channel subfamily A member 4,K+ channel; Voltage-gated; Allow nerves to repolarize after an action potentials,K+,Voltage,Kv1.4,soon
P22460,KCNA5,Potassium voltage-gated channel subfamily A member 5,K+ channel; Voltage-gated; Allow nerves to repolarize after an action potentials,K+,Voltage,Kv1.5,yes
P23415,GLRA1,Glycine receptor subunit alpha-1,"Cl- channel; Ligand-gated; Down-regulation of neuronal excitability, inhibitory postsynaptic currents",Cl-,Ligand,Glycine,
P23416,GLRA2,Glycine receptor subunit alpha-2,Cl- channel; Ligand-gated; Glycine-gated; Downregulates neuronal excitability; Plays a role in cell resonses to ethanol.,Cl-,Ligand,Glycine,
P24046,GABRR1,Gamma-aminobutyric acid receptor subunit rho-1,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P28472,GABRB3,Gamma-aminobutyric acid receptor subunit beta-3,Cl- channel; Ligand-gated; Inhibitory neurotransmission; Component of heteropentameric receptor of GABA; Mutations associated with epilepsy,Cl-,Ligand,GABA,
P28476,GABRR2,Gamma-aminobutyric acid receptor subunit rho-2,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P29475,NOS1,"Nitric oxide synthase, brain",NOT AN ION CHANNEL; regulates channel activity,,,,
P29972,AQP1,Aquaporin-1,"NOT AN ION CHANNEL; water channel, maybe some ions (? - check?",,,,
P29973,CNGA1,cGMP-gated cation channel alpha-1,cation channel; Ligand-gated; Activated by cGMP; Visual signal transduction,cation,Ligand,,
P30532,CHRNA5,Neuronal acetylcholine receptor subunit alpha-5,Cation channel; Ligand-gated; ,cation,Ligand,nAChR,doable
P30926,CHRNB4,Neuronal acetylcholine receptor subunit beta-4,Cation channel; Ligand-gated; ,cation,Ligand,nAChR,doable
P31644,GABRA5,Gamma-aminobutyric acid receptor subunit alpha-5,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P32297,CHRNA3,Neuronal acetylcholine receptor subunit alpha-3,Na+ channel; Ligand-gated; Mutations associated with epilepsy; Related to many functions,Na+,Ligand,nAChR,doable
P34903,GABRA3,Gamma-aminobutyric acid receptor subunit alpha-3,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P35372,OPRM1,Mu-type opioid receptor,NOT AN ION CHANNEL; mediate cellular responses like activation of inward rectifying K+ channels.,,,,
P35498,SCN1A,Sodium channel protein type 1 subunit alpha,Na+ channel; Voltage-gated; Excitable membranes; Involved in sensory perception of mechanical pain,Na+,Voltage,Nav1.1,
P35499,SCN4A,Sodium channel protein type 4 subunit alpha (NaV1.4),,Na+,Voltage,Nav1.4,
P35523,CLCN1,Chloride channel protein 1,"Cl- channel; Voltage-gated; Regulate cell volume, membrane potential, signal transduction, transepithelial transport",Cl-,Voltage,ClvC1,
P36383,GJC1,Gap junction gamma-1 protein,NOT AN ION CHANNEL; just a pore,,,,
P36544,CHRNA7,Neuronal acetylcholine receptor subunit alpha-7,Cation channel; Ligand-gated; ,cation,Ligand,nAChR,doable
P37088,SCNN1A,Amiloride-sensitive sodium channel subunit alpha,"Na+ channel; Ligand-gated; Diffusion of Na in epithelial cells; Electrolyte and blood pressure homeostasis, airway surface liquid homeostatus (clearance of mucus); Reabsorption of Na in kidney, colon, lung, sweat glands; Taste preception.",Na+,Ligand,ENaC,
P39086,GRIK1,"Glutamate receptor ionotropic, kainate 1",Cation channel; Ligand-gated; May be involved in the transmission of light information from the retina to the hypothalamus,cation,Ligand,NMDA,doable
P40879,SLC26A3,Chloride anion exchanger,,,transporter,,
P42261,GRIA1,Glutamate receptor 1,Cation channel; Ligand-gated; Glutamate-gated; ,cation,Ligand,NMDA,doable
P42262,GRIA2,Glutamate receptor 2,"Cation channel; Ligand-gated; Glutamate-gated; Subunit has agonist binding site; CNS, excitatory synaptic transmission",cation,Ligand,NMDA,doable
P42263,GRIA3,Glutamate receptor 3,"Cation channel; Ligand-gated; Glutamate-gated; CNS, excitatory synaptic transmission",cation,Ligand,NMDA,doable
P42658,DPP6,Dipeptidyl aminopeptidase-like protein 6 (DPP6),NOT AN ION CHANNEL; promotes expression of KCND2 K+ channel,,,,
P43007,SLC1A4,Neutral amino acid transporter A,"NOT AN ION CHANNEL; Transporter for Ala, Ser, Cys; Na+ dependant",,,,
P43681,CHRNA4,Neuronal acetylcholine receptor subunit alpha-4,Na+ channel; Ligand-gated; Mutations associated with epilepsy; Related to many functions,Na+,Ligand,nAChR,doable
P45880,VDAC2,Voltage-dependent anion-selective channel protein 2,anion channel; Voltage-gated;,anion,Voltage,,
P46098,HTR3A,5-hydroxytryptamine receptor 3A,Cation channel; Ligand-gated; part of 5-HT3 ion channel,cation,Ligand,5HT3,doable
P47869,GABRA2,Gamma-aminobutyric acid receptor subunit alpha-2,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P47870,GABRB2,Gamma-aminobutyric acid receptor subunit beta-2,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P48048,KCNJ1,ATP-sensitive inward rectifier potassium channel 1,K+ channel; Ligand-gated; Gated by ATP; In the kidney,K+,Voltage,Kir1.1,
P48050,KCNJ4,Inward rectifier potassium channel 4,K+ channel; Voltage-gated; Inward rectifying; Greater tendancy to allow K+ into the cell than out of it; Regulated by conc on extracellular K+; ,K+,Voltage,Kir2.3,
P48051,KCNJ6,G protein-activated inward rectifier potassium channel 2,K+ channel; Voltage-gated; Controlled by G-proteins,K+,Voltage,Kir3.2,
P48058,GRIA4,Glutamate receptor 4,Cation channel; Ligand-gated; Glutamate-gated; excitatory synaptic transmission,cation,Ligand,NMDA,doable
P48167,GLRB,Glycine receptor subunit beta,Cl- channel; Ligand-gated; Glycine-gated; Downregulates neuronal excitability;,Cl-,Ligand,Glycine,
P48169,GABRA4,Gamma-aminobutyric acid receptor subunit alpha-4,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P48544,KCNJ5,G protein-activated inward rectifier potassium channel 4,K+ channel; Voltage-gated; Controlled by G-proteins,K+,Voltage,Kir3.4,no
P48547,KCNC1,Potassium voltage-gated channel subfamily C member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv3.1,soon
P48549,KCNJ3,G protein-activated inward rectifier potassium channel 1,K+ channel; Voltage-gated; Controlled by G-proteins,K+,Voltage,Kir3.1,
P48995,TRPC1,Short transient receptor potential channel 1,cation channel; secondary messenger; ,cation,Ligand. Mechanical.,TRPC1,
P49768,PSEN1,Presenilin-1,UNKNOWN if it's an ION CHANNEL; Ca2+ binding protein; internal Ca store in muscle. Regulates Ca release from channel RYR2. May be a calcium leak channel,,,,
P50443,SLC26A2,Sulfate transporter,carrier/antiporter,,carrier/antiporter,,
P51168,SCNN1B,Amiloride-sensitive sodium channel subunit beta,Na+ channel; Ligand-gated; ,Na+,Ligand,ENaC,
P51170,SCNN1G,Amiloride-sensitive sodium channel subunit gamma,Na+ channel; Ligand-gated; ,Na+,Ligand,ENaC,
P51172,SCNN1D,Amiloride-sensitive sodium channel subunit delta,Na+ channel; Ligand-gated; ,Na+,Ligand,ENaC,
P51575,P2RX1,P2X purinoceptor 1,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
P51674,GPM6A,Neuronal membrane glycoprotein M6-a,NOT AN ION CHANNEL; involved in neuronal differentiation & Ca2+ influx,,,,
P51787,KCNQ1,Potassium voltage-gated channel subfamily KQT member 1,K+ channel; Voltage-gated; Associates with KCNE beta-subunits; Delayed voltage-activated K current; Found in cardiac tissue and digestive tract; Mutation related to cardiac problems,K+,Voltage,Kv7.1,
P51788,CLCN2,Chloride channel protein 2,"Cl- channel; Voltage-gated; Regulate cell volume, membrane potential, signal transduction, transepithelial transport",Cl-,Voltage,ClvC2,
P51790,CLCN3,H(+)/Cl(-) exchange transporter 3,Cl- channel; Voltage-gated; Exchange of Cl- against H+; Antiporter; Acidification; Regulate membrane excitability by protein kinase C; Help neuronal cells establish short-term memory,Cl-,Voltage,ClvC3,
P51793,CLCN4,H(+)/Cl(-) exchange transporter 4,Cl- channel; Voltage-gated; Exchanges Cl- against H+; Antiporter;,Cl-,Voltage,ClvC4,
P51795,CLCN5,H(+)/Cl(-) exchange transporter 5,Cl- channel; Voltage-gated; Exchanges Cl- against H+; Antiporter; Acidification of the enosome and lumen.,Cl-,Voltage,ClvC5,
P51797,CLCN6,Chloride transport protein 6,Cl- channel; Voltage-gated; Possibly an antiporter,Cl-,Voltage,ClvC6,
P51798,CLCN7,H(+)/Cl(-) exchange transporter 7,Cl- channel; Voltage-gated; Exchanges Cl- against H+; Antiporter;,Cl-,Voltage,ClvC7,
P51800,CLCNKA,Chloride channel protein ClC-Ka,"Cl- channel; Voltage-gated; Regulation of cell volume, membrane potential stabilization; signal transduction, transepithelial transport; Mutations associated with Bartter syndrom, deafness.",Cl-,Voltage,ClCK1,
P51801,CLCNKB,Chloride channel protein ClC-Kb,"Cl- channel; Voltage-gated; Regulate cell volume, membrane potential, signal transduction, transepithelial transport",Cl-,Voltage,ClCK2,
P54284,CACNB3,Voltage-dependent L-type calcium channel subunit beta-3,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cancnb3,
P54289,CACNA2D1,Voltage-dependent calcium channel subunit alpha-2/delta-1,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacna2d1,
P54652,HSPA2,Heat shock-related 70 kDa protein 2,NOT AN ION CHANNEL; chaperone ,,,,
P54710,FXYD2,Sodium/potassium-transporting ATPase subunit gamma,NOT AN ION CHANNEL,,,,
P56373,P2RX3,P2X purinoceptor 3,"Ligand-gated; Participates in pathways involving bladder volume reflexes, platelet aggregation, macrophage activation, apoptosis, neuronal-glial interactions",cation,Ligand,P2X,
P56696,KCNQ4,Potassium voltage-gated channel subfamily KQT member 4,"K+ channel; Voltage-gated; Neuronal excitability; Mutations related to seizures; Mutations associated with deafness, ",K+,Voltage,Kv7.4,
P56750,CLDN17,Claudin-17,"anion channel (Cl- and bicarbonate, solutes < 9A); ? gating",Cl-,Tight junction,,
P57789,KCNK10,Potassium channel subfamily K member 10,K+ channel; Voltage-gated; Outward rectifying.,K+,Voltage,TREK-2,
P58549,FXYD7,FXYD domain-containing ion transport regulator 7,Cl- channel; ? gating,Cl-,,,
P58550,FXYD6P3,Putative FXYD domain-containing ion transport regulator 8,?,,,,
P58743,SLC26A5,Prestin,NOT AN ION CHANNEL; Motor protein,,,,
P59646,FXYD4,FXYD domain-containing ion transport regulator 4,Cl- channel; ? gating,Cl-,,,
P60880,SNAP25,Synaptosomal-associated protein 25,K+ channels; Modulates gating of delayed rectifier voltage-dependent K+ channel KCNB1 in pancreatic beta cells,K+,Voltage,,
P61601,NCALD,Neurocalcin-delta,NOT AN ION CHANNEL; Ca2+ binding protein;,,,,
P62158,CALM1,Calmodulin,NOT AN ION CHANNEL; Modulate control of many proteins by Ca2+. CaM binds Ca2+,,,,
P62166,NCS1,Neuronal calcium sensor 1,NOT AN ION CHANNEL; Can substitute for Calmodulin,,,,
P62955,CACNG7,Voltage-dependent calcium channel gamma-7 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacng7,
P63027,VAMP2,Vesicle-associated membrane protein 2,K+ channels Modulates gating of delayed rectifier voltage-dependent K+ channel KCNB1,K+,Voltage,,
P63165,SUMO1,Small ubiquitin-related modifier 1,"K+ channel; Covalently attached to voltage-gated K+ channel KCNB1, modulating gating characteristics of KCNB1. Mutations lead to cleft lip, cleft palate",K+,Voltage,,
P63252,KCNJ2,Inward rectifier potassium channel 2,K+ channel; Voltage-gated; Inward rectifying; Greater tendancy to allow K+ into the cell than out of it; Probably particiaptes in establishing action potential and excitabiliy of neuronal and muscle tissues,K+,Voltage,Kir2.1,yes
P68106,FKBP1B,Peptidyl-prolyl cis-trans isomerase FKBP1B,NOT AN ION CHANNEL; regulates ion channel activity,,,,
P78334,GABRE,Gamma-aminobutyric acid receptor subunit epsilon,Cl- channel; Ligand-gated; ,Cl-,Ligand,GABA,
P78348,ASIC1,Acid-sensing ion channel 1,Na+ channel; Ligand-gated; part of the ASIC complex (trimeric),Na+,Ligand,,
P78352,DLG4,Disks large homolog 4,NOT AN ION CHANNEL; affects excitatory to inhibitory synapses,,,,
P78357,CNTNAP1,Contactin-associated protein 1,NOT AN ION CHANNEL; forms domains critical for saltatory conduction of nerve impulses,,,,
P78508,KCNJ10,ATP-sensitive inward rectifier potassium channel 10,"K+ channel; Ligand-gated; Gated by ATP; In the brain, kidney",K+,Voltage,Kir4.1,
P98161,PKD1,Polycystin-1,NOT AN ION CHANNEL; regulates ion channel activity,,,,
Q00975,CACNA1B,Voltage-dependent N-type calcium channel subunit alpha-1B,"Ca2+ channel; Voltage-gated; Excitable cells, muscle contraction, hormone/neurotransmitter release, gene expression, cell motility, cell division, cell death. Mutations associated with dystonia (involuntary muscle contraction)",Ca2+,Voltage,Cav2.2,
Q01118,SCN7A,Sodium channel protein type 7 subunit alpha,Na+ channel; Ligand-gated (?); Activated by extracellular [Na+];,Na+,Ligand,"Nav2.1, Nav2.2, Nav2.3?",
Q01668,CACNA1D,Voltage-dependent L-type calcium channel subunit alpha-1D,"Ca2+ channel; Voltage-gated; Excitable cells, muscle contraction, hormone/neurotransmitter release, gene expression, cell motility, cell division, cell death. Mutations associated with deafness, seizures, neurological abnormalities",Ca2+,Voltage,Cav1.3 (L-type),yes
Q02246,CNTN2,Contactin-2,NOT AN ION CHANNEL; Cell adhesion molecule,,,,
Q02641,CACNB1,Voltage-dependent L-type calcium channel subunit beta-1,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cancnb1,
Q03721,KCNC4,Potassium voltage-gated channel subfamily C member 4,K+ channel; Voltage-gated;  Excitable membranes,K+,Voltage,Kv3.4,yes
Q04844,CHRNE,Acetylcholine receptor subunit epsilon,Ligand-gated; Part of muslce acetylcholine receptor,cation,Ligand,nAChR,doable
Q05586,GRIN1,"Glutamate receptor ionotropic, NMDA 1","cations (high Ca2+ permeability, Mg2+ sensitivity is voltage dependent); Ligand-gated; Plays a role in synaptic plasticity, synaptogenesis, excitotoxicity, memory acquision and learning; Mutaions associated with decreased intellectual functioning.",cation,Ligand,NMDA,doable
Q05901,CHRNB3,Neuronal acetylcholine receptor subunit beta-3,Cation channel; Ligand-gated; ,cation,Ligand,nAChR,doable
Q05BG9,P2RX6,P2X purinoceptor,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
Q06432,CACNG1,Voltage-dependent calcium channel gamma-1 subunit,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cacng1,
Q07001,CHRND,Acetylcholine receptor subunit delta,Ligand-gated; Part of muslce acetylcholine receptor,cation,Ligand,nAChR,doable
Q07343,PDE4B,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B",NOT AN ION CHANNEL; hydrolyzes secondary messenger cAMP,,,,
Q07699,SCN1B,Sodium channel subunit beta-1,Na+ channel; Voltage-gated;,Na+,Voltage,,
Q08124,-,Interleukin-1 homologue,NOT AN ION CHANNEL;,,,,
Q08289,CACNB2,Voltage-dependent L-type calcium channel subunit beta-2,Ca2+ channel; Voltage-gated;,Ca2+,Voltage,cancnb2,
Q08499,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D",NOT AN ION CHANNEL; hydrolyzes secondary messenger cAMP,,,,
Q09428,ABCC8,ATP-binding cassette sub-family C member 8,K+ channel; Ligand-gated; Subunit of KATP channel. Responsible for regulation,K+,Ligand,,
Q09470,KCNA1,Potassium voltage-gated channel subfamily A member 1,K+ channel; Voltage-gated;,K+,Voltage,Kv1.1,yes
Q09HS5,TRPV1,Transient receptor potential cation channel subfamily V member 1 transcript variant A,cation channel; ? gating; ,cation,Ligand. Mechanical. Temperature.,TRPV1,
Q09HT1,SCNN1D,Sodium channel nonvoltage-gated 1 delta,Na+ channel; Ligand-gated,Na+,Ligand,ENaC,
Q09MK0,KCNIP2,Kv channel interacting protein 2 transcript variant 9,K+ channel; Voltage-gated; ,K+,Ligand,KChip2a,
Q0GM92,-,Purinergic receptor P2X ligand gated ion channel 5,cation channel; ligand-gated; ATP-binding; ,cation,Ligand,P2X,
Q0GM93,-,Purinergic receptor P2X ligand-gated ion channel 4,cation channel; ligand-gated; ATP-binding; ,cation,Ligand,P2X,
Q0IJ51,P2RX7,P2X purinoceptor,Cation channel; Ligand-gated; ATP-gated;,cation,Ligand,P2X,
Q12791,KCNMA1,Calcium-activated potassium channel subunit alpha-1,"K+ channel; Voltage-gated; Activated by membrane depolarization or increase in cystolic Ca2+, Mg2+; Contributes to repolarization of the cell membrane, in muscle, hair ells in the cochlea, regulation of transmitter release, innate immunity. Mutations associated with epilepsy",K+,Ligand,Slo1 (KCa1.1),
Q12797,ASPH,Aspartyl/asparaginyl beta-hydroxylase,NOT AN ION CHANNEL; Ca2+ sensing protein,,,,
Q12809,KCNH2,Potassium voltage-gated channel subfamily H member 2 (hERG),K+ channel; Voltage-gated; Inward rectifying; Channel properties modulated by cAMP; In the heart; Mutations associated with a heart disorder,K+,Voltage,Kv11.1 (hERG),
Q12879,GRIN2A,"Glutamate receptor ionotropic, NMDA 2A","Cation channel (high Ca2+ permeability, Mg2+ sensitivity is voltage-dependent); Ligand-gated; Mutations associated with epilepsy, focal, speech disorder.",cation,Ligand,NMDA,doable
