ProbesetID	Num_matched_probes	RefSeq	UniGene	RIKEN	EntrezGene	Symbol	Description	Ensembl_representative	Cross_hyb_EntrezGeneIDs
gnf1h00133_at	10	NM_013328	Hs.520187		29920	PYCR2	pyrroline-5-carboxylate reductase family, member 2		
gnf1h00134_at	10	NM_013346			29934	SNX12	sorting nexin 12		
gnf1h00135_at	11	NM_013353			29765	TMOD4	tropomodulin 4 (muscle)		
gnf1h00136_at	11	NM_013355	Hs.300485		29941	PKN3	protein kinase N3	ENST00000291906	
gnf1h00137_s_at	11	NM_013355	Hs.300485		29941	PKN3	protein kinase N3	ENST00000291906	
gnf1h00138_at	11	NM_013376	Hs.269898		29950	SERTAD1	SERTA domain containing 1	ENST00000357949	
gnf1h00139_at	11					DPP7	ENST00000371579 transcript (in rel.42.36d)	ENST00000371579	
gnf1h00140_at	11	NM_013391	Hs.631969		29958	DMGDH	dimethylglycine dehydrogenase		
gnf1h00141_at	11	NM_013438	Hs.9589		29979	UBQLN1	ubiquilin 1		
gnf1h00142_s_at	11		Hs.9589		29979	UBQLN1	ubiquilin 1		
gnf1h00143_at	10		Hs.8360		28970	C11orf54	chromosome 11 open reading frame 54		
gnf1h00144_at	11	NM_014049	Hs.567482		28976	ACAD9	acyl-Coenzyme A dehydrogenase family, member 9		
gnf1h00145_s_at	11	NM_014053	Hs.7055		28982	FLVCR	feline leukemia virus subgroup C cellular receptor		
gnf1h00146_at	11	NM_014062	Hs.271695		28987	NOB1P	nin one binding protein		
gnf1h00147_at	10		Hs.436500		28988	DBNL	drebrin-like		
gnf1h00148_at						AD-003	AD-003 protein		
gnf1h00149_at						HT002	HT002 protein; hypertension-related calcium-regulated gene		
gnf1h00150_at						PRO0767	PRO0767 protein		
gnf1h00151_at							Homo sapiens PRO0113 protein (PRO0113), mRNA.		
gnf1h00152_at						PRO0483	PRO0483 protein		
gnf1h00153_at						PRO0659	PRO0659 protein		
gnf1h00154_at	8	NM_014142			11164	NUDT5	nudix (nucleoside diphosphate linked moiety X)-type motif 5		
gnf1h00155_at	11	NM_014157	Hs.11614		29070	HSPC065	HSPC065 protein	ENST00000219299	
gnf1h00156_at	11	NM_014172			29085	PHPT1	phosphohistidine phosphatase 1		
gnf1h00157_at	11	NM_014176			29089	UBE2T	ubiquitin-conjugating enzyme E2T (putative)	ENST00000367274	
gnf1h00158_at	11	NM_014177	Hs.532835		29090	C18orf55	chromosome 18 open reading frame 55	ENST00000169551	
gnf1h00159_at	9	NM_014188			29101	SSU72	Ssu72 RNA polymerase II CTD phosphatase homolog (yeast)		
gnf1h00160_at	11	NM_014230			6730	SRP68	signal recognition particle 68kDa		
gnf1h00161_at	9	NM_014312			23584	VSIG2	V-set and immunoglobulin domain containing 2	ENST00000326621	
gnf1h00162_at	9	NM_014359	Hs.632468		26254	OPTC	opticin	ENST00000367222	
gnf1h00163_at	11	NM_014397			10783	NEK6	NIMA (never in mitosis gene a)-related kinase 6		
gnf1h00164_at	11	NM_014405	Hs.514423		27092	CACNG4	calcium channel, voltage-dependent, gamma subunit 4	ENST00000262138	
gnf1h00165_at	8	NM_173178			27177	IL1F8	interleukin 1 family, member 8 (eta)	ENST00000327407	
gnf1h00166_s_at	11		Hs.278909		27177	IL1F8	interleukin 1 family, member 8 (eta)		
gnf1h00167_at	11	NM_014464			27283	TINAG	tubulointerstitial nephritis antigen		
gnf1h00168_at						LBP-32	LBP protein 32		
gnf1h00169_at	11	NM_014555			29850	TRPM5	transient receptor potential cation channel, subfamily M, member 5		
gnf1h00170_at	11	NM_014567			9564	BCAR1	breast cancer anti-estrogen resistance 1	ENST00000162330	
gnf1h00171_at	11	NM_014585	Hs.529285		30061	SLC40A1	solute carrier family 40 (iron-regulated transporter), member 1	ENST00000261024	
gnf1h00172_at						KIAA1001	KIAA1001 protein		
gnf1h00173_x_at						KIAA1001	KIAA1001 protein		
gnf1h00174_at	11					BRI3	ENST00000297290 transcript (in rel.42.36d)	ENST00000297290	
gnf1h00175_at	11	NM_015424			25884	CHRDL2	chordin-like 2		
gnf1h00176_at	10	NM_015425	Hs.531818		25885	POLR1A	polymerase (RNA) I polypeptide A, 194kDa	ENST00000263857	
gnf1h00177_at	10	NM_015426			25886	WDR51A	WD repeat domain 51A	ENST00000296484	
gnf1h00178_at	11		Hs.477015		25890	ABI3BP	ABI gene family, member 3 (NESH) binding protein	ENST00000284322	
gnf1h00179_at	11	NM_015442	Hs.444851		25904	CNOT10	CCR4-NOT transcription complex, subunit 10		
gnf1h00180_at						DKFZP586G1722	DKFZP586G1722 protein		
gnf1h00181_at	11	NM_015453	Hs.443081		25917	THUMPD3	THUMP domain containing 3		
gnf1h00182_s_at	11	NM_015496	Hs.202238		25962	KIAA1429	KIAA1429	ENST00000297591	
gnf1h00183_at	11	NM_015512	Hs.209786		25981	DNAH1	dynein, axonemal, heavy polypeptide 1	ENST00000273600	
gnf1h00184_at	11					DKFZP564K1964	ENST00000261713 transcript (in rel.42.36d)	ENST00000261713	
gnf1h00185_at	11	NM_015630	Hs.23270		26122	EPC2	enhancer of polycomb homolog 2 (Drosophila)	ENST00000258484	
gnf1h00186_at	11	NM_015645			114902	C1QTNF5	C1q and tumor necrosis factor related protein 5		
gnf1h00187_s_at	11	NM_015701	Hs.438336		27248	C2orf30	chromosome 2 open reading frame 30		
gnf1h00188_at	11		Hs.584905		51062	SPG3A	spastic paraplegia 3A (autosomal dominant)		
gnf1h00189_at	9	NM_015939	Hs.128791		51605	CGI-09	CGI-09 protein		
gnf1h00190_at	11	NM_015948	Hs.285847		51000	SLC35B3	solute carrier family 35, member B3		
gnf1h00191_at	10	NM_015949			51608	C7orf20	chromosome 7 open reading frame 20	ENST00000265857	
gnf1h00192_at						MtCCA	mitochondrial CCA-adding tRNA-nucleotidyltransferase		
gnf1h00193_at	11	NM_016016	Hs.514216		51629	CGI-69	CGI-69 protein		
gnf1h00194_at	10	NM_016023	Hs.30532		51633	OTUD6B	OTU domain containing 6B	ENST00000285420	
gnf1h00195_at	11	NM_016028			51111	SUV420H1	suppressor of variegation 4-20 homolog 1 (Drosophila)		
gnf1h00196_at	8		Hs.193566		51114	ZDHHC9	zinc finger, DHHC-type containing 9		
gnf1h00197_at	8					LOC51119	ENST00000246868 transcript (in rel.42.36d)	ENST00000246868	
gnf1h00198_at	11		Hs.591076		51010	EXOSC3	exosome component 3	ENST00000327304	
gnf1h00199_at	11	NM_016047			51639	SF3B14	splicing factor 3B, 14 kDa subunit		
gnf1h00200_at	11	NM_016059			51645	PPIL1	peptidylprolyl isomerase (cyclophilin)-like 1	ENST00000373699	
gnf1h00201_at	11	NM_016070			51649	MRPS23	mitochondrial ribosomal protein S23	ENST00000313608	
gnf1h00202_at	8	NM_016075	Hs.109520		51028	VPS36	vacuolar protein sorting 36 (yeast)	ENST00000378060	
gnf1h00203_at	9	NM_016084	Hs.25829		51655	RASD1	RAS, dexamethasone-induced 1	ENST00000225688	
gnf1h00204_at	8	NM_016094	Hs.591315		51122	COMMD2	COMM domain containing 2	ENST00000232863	
gnf1h00205_at	11	NM_016097			51124	IER3IP1	immediate early response 3 interacting protein 1	ENST00000256433	
gnf1h00206_at	9		Hs.368783		51126	NAT5	N-acetyltransferase 5 (ARD1 homolog, S. cerevisiae)		
gnf1h00207_at	11	NM_016108			51390	AIG1	androgen-induced 1		
gnf1h00208_at	11	NM_001040445	Hs.516788		51665	ASB1	ankyrin repeat and SOCS box-containing 1		
gnf1h00209_at	10	NM_016118			51667	NYREN18	NEDD8 ultimate buster-1	ENST00000355851	
gnf1h00210_at						LOC51132	putative ring zinc finger protein NY-REN-43 antigen		
gnf1h00211_at	9	NM_016131	Hs.467960		10890	RAB10	RAB10, member RAS oncogene family		
gnf1h00212_at	11	NM_016150	Hs.510327		51676	ASB2	ankyrin repeat and SOCS box-containing 2	ENST00000315988	
gnf1h00213_at	8	NM_016169	Hs.404089		51684	SUFU	suppressor of fused homolog (Drosophila)	ENST00000369902	
gnf1h00214_at	11		Hs.495230		51148	CEECAM1	cerebral endothelial cell adhesion molecule 1		
gnf1h00215_at	11	NM_016192			23671	TMEFF2	transmembrane protein with EGF-like and two follistatin-like domains 2		
gnf1h00216_at	11	NM_016207	Hs.515972		51692	CPSF3	cleavage and polyadenylation specific factor 3, 73kDa		
gnf1h00217_at	11	NM_016218	Hs.135756		51426	POLK	polymerase (DNA directed) kappa		
gnf1h00218_at	11	NM_016224	Hs.191213		51429	SNX9	sorting nexin 9	ENST00000252631	
gnf1h00219_at						KATII	L-kynurenine/alpha-aminoadipate aminotransferase		
gnf1h00220_at	11	NM_016238			51434	ANAPC7	anaphase promoting complex subunit 7	ENST00000354390	
gnf1h00221_s_at	11	NM_016238			51434	ANAPC7	anaphase promoting complex subunit 7	ENST00000354390	
gnf1h00222_at	11	NM_016252	Hs.150107		57448	BIRC6	baculoviral IAP repeat-containing 6 (apollon)		
gnf1h00223_at						AKL3L	adenylate kinase 3 alpha like		
gnf1h00224_at	11	NM_016338	Hs.482269		51194	IPO11	importin 11		
gnf1h00225_at	10	NM_016353			51201	ZDHHC2	zinc finger, DHHC-type containing 2		
gnf1h00226_at	10	NM_016356	Hs.61345		51473	DCDC2	doublecortin domain containing 2		
gnf1h00227_at	9	NM_016396	Hs.497967		51496	CTDSPL2	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2		
gnf1h00228_at	11	NM_016403			51503	HSPC148	hypothetical protein HSPC148	ENST00000279839	
gnf1h00229_at	11	NM_016428			51225	ABI3	ABI gene family, member 3	ENST00000225941	
gnf1h00230_at	9	NM_020117	Hs.432674		51520	LARS	leucyl-tRNA synthetase		
gnf1h00231_at	10	NM_016463			51523	CXXC5	CXXC finger 5		
gnf1h00232_at	10	NM_016526			51272	BET1L	blocked early in transport 1 homolog (S. cerevisiae)-like		
gnf1h00233_at	10	NM_016466			51239	ANKRD39	ankyrin repeat domain 39	ENST00000305491	
gnf1h00234_at	11	NM_016472	Hs.592297		51527	C14orf129	chromosome 14 open reading frame 129	ENST00000329856	
gnf1h00235_at	10	NM_016474	Hs.517820		51244	C3orf19	chromosome 3 open reading frame 19		
gnf1h00236_at	8	NM_016475			51528	C14orf100	chromosome 14 open reading frame 100		
gnf1h00237_at						ANAPC11	APC11 anaphase promoting complex subunit 11 homolog (yeast)		
gnf1h00238_at	9	NM_016478	Hs.194157		51530	ZC3HC1	zinc finger, C3HC-type containing 1		
gnf1h00239_at	10	NM_016479	Hs.414579		51246	SCOTIN	scotin		
gnf1h00240_s_at	11	NM_016481	Hs.9196		51531	C9orf156	chromosome 9 open reading frame 156		
gnf1h00241_at	11	NM_016485	Hs.431367		51534	C6orf55	chromosome 6 open reading frame 55		
gnf1h00242_at	11	NM_016486	Hs.643561		51249	TMEM69	transmembrane protein 69		
gnf1h00243_at	8		Hs.444157		51535	PPHLN1	periphilin 1		
gnf1h00244_at						LOC51252	hypothetical protein		
gnf1h00245_s_at	11	NM_016491	Hs.584908		51253	MRPL37	mitochondrial ribosomal protein L37		
gnf1h00246_at						HSPC242	hypothetical protein		
gnf1h00247_at	11	NM_016500			51260	CXorf26	chromosome X open reading frame 26		
gnf1h00248_at	8		Hs.590896		51263	MRPL30	mitochondrial ribosomal protein L30		
gnf1h00249_at	10		Hs.7736		51264	MRPL27	mitochondrial ribosomal protein L27	ENST00000225969	
gnf1h00250_at	10	NM_016505			51538	ZCCHC17	zinc finger, CCHC domain containing 17		
gnf1h00251_at	11	NM_016589			51300	C3orf1	chromosome 3 open reading frame 1	ENST00000264244	
gnf1h00252_at	11	NM_016601			51305	KCNK9	potassium channel, subfamily K, member 9	ENST00000303015	
gnf1h00253_at	10	NM_201269	Hs.173001		84146	ZNF644	zinc finger protein 644		
gnf1h00254_at	9		Hs.253305		51091	SLA/LP	soluble liver antigen/liver pancreas antigen		
gnf1h00255_at	11	NM_017413	Hs.303084		8862	APLN	apelin, AGTRL1 ligand	ENST00000307484	
gnf1h00256_at						PRKAG3	protein kinase, AMP-activated, gamma 3 non-catalytic subunit		
gnf1h00257_at	11	NM_017541			1427	CRYGS	crystallin, gamma S		
gnf1h00258_at	11	NM_017584			55586	MIOX	myo-inositol oxygenase	ENST00000216075	
gnf1h00259_x_at	8					WDR5	ENST00000358625 transcript (in rel.42.36d)	ENST00000358625	
gnf1h00260_at	11	NM_017607			54776	PPP1R12C	protein phosphatase 1, regulatory (inhibitor) subunit 12C		
gnf1h00261_at	10		Hs.50813		55600	ITLN1	intelectin 1 (galactofuranose binding)		
gnf1h00262_at	10	NM_017673	Hs.134183		54823	C1orf26	chromosome 1 open reading frame 26	ENST00000367500	
gnf1h00263_at	11		Hs.610962			FLJ20139	CDNA FLJ20139 fis, clone COL07179		
gnf1h00264_x_at						FLJ20139	hypothetical protein FLJ20139		
gnf1h00265_at	11	NM_017693	Hs.288809		54841	BIVM	basic, immunoglobulin-like variable motif containing	ENST00000257336	
gnf1h00266_at	10	NM_017755			54888	NSUN2	NOL1/NOP2/Sun domain family, member 2		
gnf1h00267_at	11	NM_017769			55632	KIAA1333	KIAA1333	ENST00000206595	
gnf1h00268_at	11	NM_001012731			283874	LOC283874	hypothetical protein LOC283874		
gnf1h00269_at	10	NM_017811			54926	UBE2R2	ubiquitin-conjugating enzyme E2R 2	ENST00000263228	
gnf1h00270_at	11	NM_017816			55646	LYAR	hypothetical protein FLJ20425		
gnf1h00271_at	11	NM_017819			54931	RG9MTD1	RNA (guanine-9-) methyltransferase domain containing 1	ENST00000309922	
gnf1h00272_at	10	NM_017823			54935	DUSP23	dual specificity phosphatase 23		
gnf1h00273_at	11	NM_017825			54936	ADPRHL2	ADP-ribosylhydrolase like 2		
