#UniProt	Protein name					  Target ID	    Compound Key  Compound ID	    Compound Name	   First Approval Withdrawn Flag	Description of mech. of action.	   Action Type
A5X5Y0        Serotonin 3 (5-HT3) receptor                        CHEMBL2094132     RG3487        CHEMBL3544952     RG3487                                 0   Serotonin 3 (5-HT3) receptor antagonist             ANTAGONIST                    
A5X5Y0        Serotonin 3 (5-HT3) receptor                        CHEMBL2094132     TEDATIOXETIN  CHEMBL2104986     TEDATIOXETINE                          0   Serotonin 3 (5-HT3) receptor antagonist             ANTAGONIST                    
A5X5Y0        Serotonin (5-HT) receptor                           CHEMBL2096904                                                                                                                                                                  
A8MPY1        GABA-C receptor                                     CHEMBL2109242                                                                                                                                                                  
O00305        Voltage-gated calcium channel                       CHEMBL2363032     ATAGABALIN    CHEMBL593430      ATAGABALIN                             0   Voltage-gated calcium channel modulator             MODULATOR                     
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     BUTALBITAL    CHEMBL454         Butalbital                      1983   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     CHLORDIAZEPO  CHEMBL451         Chlordiazepoxide                1960   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     CHLORDIAZEPO  CHEMBL1200703     Chlordiazepoxide Hydrochloride  1960   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     CLOBAZAM      CHEMBL70418       Clobazam                        2005   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     CLONAZEPAM    CHEMBL452         Clonazepam                      1975   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     CLORAZEPATE   CHEMBL2096631     Clorazepate Dipotassium         1972   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     DESFLURANE    CHEMBL1200733     Desflurane                      1992   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     DIAZEPAM      CHEMBL12          Diazepam                        1963   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     ENFLURANE     CHEMBL1257        Enflurane                       1972   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     ESTAZOLAM     CHEMBL285674      Estazolam                       1990   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     ESZOPICLONE   CHEMBL1522        Eszopiclone                     2004   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     ETHCHLORVYNO  CHEMBL591         Ethchlorvynol                   1961   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     ETOMIDATE     CHEMBL681         Etomidate                       1982   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     FLUMAZENIL    CHEMBL407         Flumazenil                      1991   0   GABA-A receptor; anion channel allosteric antagoni  ALLOSTERIC ANTAGONIST         
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     FLURAZEPAM H  CHEMBL1200602     Flurazepam Hydrochloride        1970   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     GLUTETHIMIDE  CHEMBL1102        Glutethimide                    1976   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     HALAZEPAM     CHEMBL970         Halazepam                       1981   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     HALOTHANE     CHEMBL931         Halothane                       1958   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     ISOFLURANE    CHEMBL1256        Isoflurane                      1979   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     LORAZEPAM     CHEMBL580         Lorazepam                       1977   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     MEPROBAMATE   CHEMBL979         Meprobamate                     1955   0   GABA-A receptor; anion channel agonist              AGONIST                       
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     METHARBITAL   CHEMBL450         Metharbital                     1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     METHOHEXITAL  CHEMBL30219       Methohexital Sodium             1960   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     METHOXYFLURA  CHEMBL1341        Methoxyflurane                         1   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     METHYPRYLON   CHEMBL1200790     Methyprylon                     1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     MIDAZOLAM HY  CHEMBL1200420     Midazolam Hydrochloride         1985   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     OXAZEPAM      CHEMBL568         Oxazepam                        1965   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     PF-06372865   CHEMBL3707402     PF-06372865                            0   GABA-A receptor; anion channel agonist              AGONIST                       
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     PENTOBARBITA  CHEMBL448         Pentobarbital                   1973   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     PENTOBARBITA  CHEMBL971         Pentobarbital Sodium            1973   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     PRAZEPAM      CHEMBL969         Prazepam                        1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     PRIMIDONE     CHEMBL856         Primidone                       1954   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     PROPOFOL      CHEMBL526         Propofol                        1989   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     QUAZEPAM      CHEMBL1200472     Quazepam                        1985   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     SECOBARBITAL  CHEMBL1200903     Secobarbital Sodium             1950   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     SEVOFLURANE   CHEMBL1200694     Sevoflurane                     1995   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     TALBUTAL      CHEMBL1200802     Talbutal                        1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     TEMAZEPAM     CHEMBL967         Temazepam                       1981   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     THIAMYLAL SO  CHEMBL1201065     Thiamylal Sodium                1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     THIOPENTAL S  CHEMBL738         Thiopental Sodium               1982   0   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     TOPIRAMATE    CHEMBL220492      Topiramate                      1996   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     TRIAZOLAM     CHEMBL646         Triazolam                       1978   1   GABA-A receptor; anion channel positive allosteric  POSITIVE ALLOSTERIC MODULATOR 
O14764        GABA-A receptor; anion channel                      CHEMBL2093872     TRICLOFOS SO  CHEMBL1200789     Triclofos Sodium                1982   0   GABA-A receptor; anion channel positive modulator   POSITIVE MODULATOR            
O14764        GABA receptor delta subunit                         CHEMBL3591                                                                                                                                                                     
O14983        Sarcoplasmic/endoplasmic reticulum calcium ATPase   CHEMBL3136                                                                                                                                                                     
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     AV-101        CHEMBL3545351     AV-101                                 0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     AZD8108       CHEMBL3707355     AZD8108                                0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     ACAMPROSATE   CHEMBL2068724     Acamprosate Calcium             2004   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     AMANTADINE H  CHEMBL1569        Amantadine Hydrochloride        1968   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     CNS-5161      CHEMBL41306       CNS-5161                               0   Glutamate [NMDA] receptor blocker                   BLOCKER                       
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     DELUCEMINE    CHEMBL2110814     DELUCEMINE                             0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     FELBAMATE     CHEMBL1094        Felbamate                       1993   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     GW468816      CHEMBL1207366     GW468816                               0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     Indantadol    CHEMBL3707400     Indantadol                             0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     KETAMINE HYD  CHEMBL1714        Ketamine Hydrochloride          1970   0   Glutamate [NMDA] receptor negative allosteric modu  NEGATIVE ALLOSTERIC MODULATOR 
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     LANICEMINE    CHEMBL2107647     LANICEMINE                             0   Glutamate [NMDA] receptor blocker                   BLOCKER                       
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     MEMANTINE HY  CHEMBL1699        Memantine Hydrochloride         2003   0   Glutamate [NMDA] receptor negative allosteric modu  NEGATIVE ALLOSTERIC MODULATOR 
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     NEBOGLAMINE   CHEMBL1255840     NEBOGLAMINE                            0   Glutamate [NMDA] receptor positive allosteric modu  POSITIVE ALLOSTERIC MODULATOR 
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     NRX-1074      CHEMBL3545230     NRX-1074                               0   Glutamate [NMDA] receptor partial agonist           PARTIAL AGONIST               
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     ORPHENADRINE  CHEMBL1200395     Orphenadrine Citrate            1959   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     ORPHENADRINE  CHEMBL1201023     Orphenadrine Hydrochloride      1957   0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     RALFINAMIDE   CHEMBL2107771     RALFINAMIDE                            0   Glutamate [NMDA] receptor antagonist                ANTAGONIST                    
O15399        Glutamate [NMDA] receptor                           CHEMBL2094124     RAPASTINEL    CHEMBL3544917     RAPASTINEL                             0   Glutamate [NMDA] receptor partial agonist           PARTIAL AGONIST               
O15399        Glutamate [NMDA] receptor subunit epsilon 4         CHEMBL2591                                                                                                                                                                     
O15399        Ionotropic glutamate receptor NMDA 1/2D             CHEMBL3038505                                                                                                                                                                  
